Time (s),X,Y,Z,Direction
94.0479999999932,6.479999999999994,7.199999999999994,1.27,Stationary
94.07999999999319,6.479999999999994,7.199999999999994,1.27,Stationary
94.11199999999319,6.479999999999994,7.199999999999994,1.27,Stationary
94.14399999999318,6.479999999999994,7.199999999999994,1.27,Stationary
94.17599999999318,6.479999999999994,7.199999999999994,1.27,Stationary
94.20799999999318,6.479999999999994,7.199999999999994,1.27,Stationary
94.23999999999317,6.479999999999994,7.199999999999994,1.27,Stationary
94.27199999999317,6.479999999999994,7.199999999999994,1.27,Stationary
94.30399999999317,6.479999999999994,7.199999999999994,1.27,Stationary
94.33599999999316,6.479999999999994,7.199999999999994,1.27,Stationary
94.36799999999316,6.479999999999994,7.199999999999994,1.27,Stationary
94.39999999999316,6.479999999999994,7.199999999999994,1.27,Stationary
94.43199999999315,6.479999999999994,7.199999999999994,1.27,Stationary
94.46399999999315,6.479999999999994,7.199999999999994,1.27,Stationary
94.49599999999315,6.479999999999994,7.199999999999994,1.27,Stationary
94.52799999999314,6.479999999999994,7.199999999999994,1.27,Stationary
94.55999999999314,6.479999999999994,7.199999999999994,1.27,Stationary
94.59199999999313,6.479999999999994,7.199999999999994,1.27,Stationary
94.62399999999313,6.479999999999994,7.199999999999994,1.27,Stationary
94.65599999999313,6.479999999999994,7.199999999999994,1.27,Stationary
94.68799999999312,6.479999999999994,7.199999999999994,1.27,Stationary
94.71999999999312,6.479999999999994,7.199999999999994,1.27,Stationary
94.75199999999312,6.479999999999994,7.199999999999994,1.27,Stationary
94.78399999999311,6.479999999999994,7.199999999999994,1.27,Stationary
94.81599999999311,6.479999999999994,7.199999999999994,1.27,Stationary
94.8479999999931,6.479999999999994,7.199999999999994,1.27,Stationary
94.8799999999931,6.479999999999994,7.199999999999994,1.27,Stationary
94.9119999999931,6.479999999999994,7.199999999999994,1.27,Stationary
94.9439999999931,6.479999999999994,7.199999999999994,1.27,Stationary
94.97599999999309,6.479999999999994,7.199999999999994,1.27,Stationary
95.00799999999309,6.479999999999994,7.199999999999994,1.27,Stationary
95.03999999999309,6.479999999999994,7.199999999999994,1.27,Stationary
95.07199999999308,6.479999999999994,7.199999999999994,1.27,Stationary
95.10399999999308,6.479999999999994,7.199999999999994,1.27,Stationary
95.13599999999307,6.479999999999994,7.199999999999994,1.27,Stationary
95.16799999999307,6.479999999999994,7.199999999999994,1.27,Stationary
95.19999999999307,6.479999999999994,7.199999999999994,1.27,Stationary
95.23199999999306,6.479999999999994,7.199999999999994,1.27,Stationary
95.26399999999306,6.479999999999994,7.199999999999994,1.27,Stationary
95.29599999999306,6.479999999999994,7.199999999999994,1.27,Stationary
95.32799999999305,6.479999999999994,7.199999999999994,1.27,Stationary
95.35999999999305,6.479999999999994,7.199999999999994,1.27,Stationary
95.39199999999305,6.479999999999994,7.199999999999994,1.27,Stationary
95.42399999999304,6.479999999999994,7.199999999999994,1.27,Stationary
95.45599999999304,6.479999999999994,7.199999999999994,1.27,Stationary
95.48799999999304,6.479999999999994,7.199999999999994,1.27,Stationary
95.51999999999303,6.479999999999994,7.199999999999994,1.27,Stationary
95.55199999999303,6.479999999999994,7.199999999999994,1.27,Stationary
95.58399999999303,6.479999999999994,7.199999999999994,1.27,Stationary
95.61599999999302,6.479999999999994,7.199999999999994,1.27,Stationary
95.64799999999302,6.479999999999994,7.199999999999994,1.27,Stationary
95.67999999999302,6.479999999999994,7.199999999999994,1.27,Stationary
95.71199999999301,6.479999999999994,7.199999999999994,1.27,Stationary
95.74399999999301,6.479999999999994,7.199999999999994,1.27,Stationary
95.775999999993,6.479999999999994,7.199999999999994,1.27,Stationary
95.807999999993,6.479999999999994,7.199999999999994,1.27,Stationary
95.839999999993,6.479999999999994,7.199999999999994,1.27,Stationary
95.871999999993,6.479999999999994,7.199999999999994,1.27,Stationary
95.90399999999299,6.479999999999994,7.199999999999994,1.27,Stationary
95.93599999999299,6.479999999999994,7.199999999999994,1.27,Stationary
95.96799999999298,6.479999999999994,7.199999999999994,1.27,Stationary
95.99999999999298,6.479999999999994,7.199999999999994,1.27,Stationary
96.03199999999298,6.479999999999994,7.199999999999994,1.27,Stationary
96.06399999999297,6.479999999999994,7.199999999999994,1.27,Stationary
96.09599999999297,6.479999999999994,7.199999999999994,1.27,Stationary
96.12799999999297,6.479999999999994,7.199999999999994,1.27,Stationary
96.15999999999296,6.479999999999994,7.199999999999994,1.27,Stationary
96.19199999999296,6.479999999999994,7.199999999999994,1.27,Stationary
96.22399999999296,6.479999999999994,7.199999999999994,1.27,Stationary
96.25599999999295,6.479999999999994,7.199999999999994,1.27,Stationary
96.28799999999295,6.479999999999994,7.199999999999994,1.27,Stationary
96.31999999999294,6.479999999999994,7.199999999999994,1.27,Stationary
96.35199999999294,6.479999999999994,7.199999999999994,1.27,Stationary
96.38399999999294,6.479999999999994,7.199999999999994,1.27,Stationary
96.41599999999293,6.479999999999994,7.199999999999994,1.27,Stationary
96.44799999999293,6.479999999999994,7.199999999999994,1.27,Stationary
96.47999999999293,6.479999999999994,7.199999999999994,1.27,Stationary
96.51199999999292,6.479999999999994,7.199999999999994,1.27,Stationary
96.54399999999292,6.479999999999994,7.199999999999994,1.27,Stationary
96.57599999999292,6.479999999999994,7.199999999999994,1.27,Stationary
96.60799999999291,6.479999999999994,7.199999999999994,1.27,Stationary
96.63999999999291,6.479999999999994,7.199999999999994,1.27,Stationary
96.6719999999929,6.479999999999994,7.199999999999994,1.27,Stationary
96.7039999999929,6.479999999999994,7.199999999999994,1.27,Stationary
96.7359999999929,6.479999999999994,7.199999999999994,1.27,Stationary
96.7679999999929,6.479999999999994,7.199999999999994,1.27,Stationary
96.79999999999289,6.479999999999994,7.199999999999994,1.27,Stationary
96.83199999999289,6.479999999999994,7.199999999999994,1.27,Stationary
96.86399999999288,6.479999999999994,7.199999999999994,1.27,Stationary
96.89599999999288,6.479999999999994,7.199999999999994,1.27,Stationary
96.92799999999288,6.479999999999994,7.199999999999994,1.27,Stationary
96.95999999999287,6.479999999999994,7.199999999999994,1.27,Stationary
96.99199999999287,6.479999999999994,7.199999999999994,1.27,Stationary
97.02399999999287,6.479999999999994,7.199999999999994,1.27,Stationary
97.05599999999286,6.479999999999994,7.199999999999994,1.27,Stationary
97.08799999999286,6.479999999999994,7.199999999999994,1.27,Stationary
97.11999999999286,6.479999999999994,7.199999999999994,1.27,Stationary
97.15199999999285,6.479999999999994,7.199999999999994,1.27,Stationary
97.18399999999285,6.479999999999994,7.199999999999994,1.27,Stationary
97.21599999999285,6.479999999999994,7.199999999999994,1.27,Stationary
97.24799999999284,6.479999999999994,7.199999999999994,1.27,Stationary
97.27999999999284,6.479999999999994,7.199999999999994,1.27,Stationary
97.31199999999284,6.479999999999994,7.199999999999994,1.27,Stationary
97.34399999999283,6.479999999999994,7.199999999999994,1.27,Stationary
97.37599999999283,6.479999999999994,7.199999999999994,1.27,Stationary
97.40799999999282,6.479999999999994,7.199999999999994,1.27,Stationary
97.43999999999282,6.479999999999994,7.199999999999994,1.27,Stationary
97.47199999999282,6.479999999999994,7.199999999999994,1.27,Stationary
97.50399999999281,6.479999999999994,7.199999999999994,1.27,Stationary
97.53599999999281,6.479999999999994,7.199999999999994,1.27,Stationary
97.56799999999281,6.479999999999994,7.199999999999994,1.27,Stationary
97.5999999999928,6.569999999999994,7.199999999999994,1.27,Right
97.6319999999928,6.659999999999994,7.199999999999994,1.27,Right
97.6639999999928,6.749999999999994,7.199999999999994,1.27,Right
97.6959999999928,6.839999999999994,7.199999999999994,1.27,Right
97.72799999999279,6.9299999999999935,7.199999999999994,1.27,Right
97.75999999999279,7.019999999999993,7.199999999999994,1.27,Right
97.79199999999278,7.109999999999993,7.199999999999994,1.27,Right
97.82399999999278,7.199999999999993,7.199999999999994,1.27,Right
97.85599999999278,7.289999999999993,7.199999999999994,1.27,Right
97.88799999999277,7.379999999999993,7.199999999999994,1.27,Right
97.91999999999277,7.469999999999993,7.199999999999994,1.27,Right
97.95199999999276,7.5599999999999925,7.199999999999994,1.27,Right
97.98399999999276,7.649999999999992,7.199999999999994,1.27,Right
98.01599999999276,7.739999999999992,7.199999999999994,1.27,Right
98.04799999999275,7.829999999999992,7.199999999999994,1.27,Right
98.07999999999275,7.919999999999992,7.199999999999994,1.27,Right
98.11199999999275,8.009999999999993,7.199999999999994,1.27,Right
98.14399999999274,8.099999999999993,7.199999999999994,1.27,Right
98.17599999999274,8.189999999999992,7.199999999999994,1.27,Right
98.20799999999274,8.279999999999992,7.199999999999994,1.27,Right
98.23999999999273,8.369999999999992,7.199999999999994,1.27,Right
98.27199999999273,8.459999999999992,7.199999999999994,1.27,Right
98.30399999999273,8.549999999999992,7.199999999999994,1.27,Right
98.33599999999272,8.639999999999992,7.199999999999994,1.27,Right
98.36799999999272,8.729999999999992,7.199999999999994,1.27,Right
98.39999999999272,8.819999999999991,7.199999999999994,1.27,Right
98.43199999999271,8.909999999999991,7.199999999999994,1.27,Right
98.46399999999271,8.999999999999991,7.199999999999994,1.27,Right
98.4959999999927,9.089999999999991,7.199999999999994,1.27,Right
98.5279999999927,9.17999999999999,7.199999999999994,1.27,Right
98.5599999999927,9.26999999999999,7.199999999999994,1.27,Right
98.5919999999927,9.35999999999999,7.199999999999994,1.27,Right
98.62399999999269,9.44999999999999,7.199999999999994,1.27,Right
98.65599999999269,9.53999999999999,7.199999999999994,1.27,Right
98.68799999999268,9.62999999999999,7.199999999999994,1.27,Right
98.71999999999268,9.71999999999999,7.199999999999994,1.27,Right
98.75199999999268,9.80999999999999,7.199999999999994,1.27,Right
98.78399999999267,9.89999999999999,7.199999999999994,1.27,Right
98.81599999999267,9.98999999999999,7.199999999999994,1.27,Right
98.84799999999267,10.07999999999999,7.199999999999994,1.27,Right
98.87999999999266,10.16999999999999,7.199999999999994,1.27,Right
98.91199999999266,10.25999999999999,7.199999999999994,1.27,Right
98.94399999999266,10.349999999999989,7.199999999999994,1.27,Right
98.97599999999265,10.439999999999989,7.199999999999994,1.27,Right
99.00799999999265,10.529999999999989,7.199999999999994,1.27,Right
99.03999999999265,10.619999999999989,7.199999999999994,1.27,Right
99.07199999999264,10.709999999999988,7.199999999999994,1.27,Right
99.10399999999264,10.799999999999988,7.199999999999994,1.27,Right
99.13599999999263,10.889999999999988,7.199999999999994,1.27,Right
99.16799999999263,10.979999999999988,7.199999999999994,1.27,Right
99.19999999999263,11.069999999999988,7.199999999999994,1.27,Right
99.23199999999262,11.159999999999988,7.199999999999994,1.27,Right
99.26399999999262,11.249999999999988,7.199999999999994,1.27,Right
99.29599999999262,11.339999999999987,7.199999999999994,1.27,Right
99.32799999999261,11.429999999999987,7.199999999999994,1.27,Right
99.35999999999261,11.519999999999987,7.199999999999994,1.27,Right
99.3919999999926,11.609999999999987,7.199999999999994,1.27,Right
99.4239999999926,11.699999999999987,7.199999999999994,1.27,Right
99.4559999999926,11.789999999999987,7.199999999999994,1.27,Right
99.4879999999926,11.879999999999987,7.199999999999994,1.27,Right
99.51999999999259,11.969999999999986,7.199999999999994,1.27,Right
99.55199999999259,12.059999999999986,7.199999999999994,1.27,Right
99.58399999999259,12.149999999999986,7.199999999999994,1.27,Right
99.61599999999258,12.239999999999986,7.199999999999994,1.27,Right
99.64799999999258,12.329999999999986,7.199999999999994,1.27,Right
99.67999999999257,12.419999999999986,7.199999999999994,1.27,Right
99.71199999999257,12.509999999999986,7.199999999999994,1.27,Right
99.74399999999257,12.599999999999985,7.199999999999994,1.27,Right
99.77599999999256,12.689999999999985,7.199999999999994,1.27,Right
99.80799999999256,12.779999999999985,7.199999999999994,1.27,Right
99.83999999999256,12.869999999999985,7.199999999999994,1.27,Right
99.87199999999255,12.959999999999985,7.199999999999994,1.27,Right
99.90399999999255,13.049999999999985,7.199999999999994,1.27,Right
99.93599999999255,13.139999999999985,7.199999999999994,1.27,Right
99.96799999999254,13.229999999999984,7.199999999999994,1.27,Right
99.99999999999254,13.319999999999984,7.199999999999994,1.27,Right
100.03199999999254,13.409999999999984,7.199999999999994,1.27,Right
100.06399999999253,13.499999999999984,7.199999999999994,1.27,Right
100.09599999999253,13.589999999999984,7.199999999999994,1.27,Right
100.12799999999253,13.679999999999984,7.199999999999994,1.27,Right
100.15999999999252,13.769999999999984,7.199999999999994,1.27,Right
100.19199999999252,13.859999999999983,7.199999999999994,1.27,Right
100.22399999999251,13.949999999999983,7.199999999999994,1.27,Right
100.25599999999251,14.039999999999983,7.199999999999994,1.27,Right
100.28799999999251,14.129999999999983,7.199999999999994,1.27,Right
100.3199999999925,14.219999999999983,7.199999999999994,1.27,Right
100.3519999999925,14.309999999999983,7.199999999999994,1.27,Right
100.3839999999925,14.399999999999983,7.199999999999994,1.27,Right
100.4159999999925,14.489999999999982,7.199999999999994,1.27,Right
100.44799999999249,14.579999999999982,7.199999999999994,1.27,Right
100.47999999999249,14.669999999999982,7.199999999999994,1.27,Right
100.51199999999248,14.759999999999982,7.199999999999994,1.27,Right
100.54399999999248,14.849999999999982,7.199999999999994,1.27,Right
100.57599999999248,14.939999999999982,7.199999999999994,1.27,Right
100.60799999999247,15.029999999999982,7.199999999999994,1.27,Right
